nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
A.T.P. ENVIRONNEMENT,,,a contacter,,,,,,,,,,,,proprete,,VILLENEUVE,,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488663071,48866307100022,81.30Z,,,,,,,,,,,sirene,
A.Z. PRO-NET,,,a contacter,,,,,,,,,,,,proprete,,VILLEMOMBLE,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504982703,50498270300028,81.21Z,,,,,,,,,,,sirene,
A2 PAYSAGE,,,a contacter,,,,,,,,,,,,proprete,,BOUCHEMAINE,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794865337,79486533700024,81.30Z,,,,,,,,,,,sirene,
A2 SERVICES,,,a contacter,,,,,,,,,,,,proprete,,SARREBOURG,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507808053,50780805300023,81.22Z,,,,,,,,,,,sirene,
A2-CM,,,a contacter,,,,,,,,,,,,proprete,,NEUILLY-EN-THELLE,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510689458,51068945800055,81.21Z,,,,,,,,,,,sirene,
A2AK SOLUTIONS,,,a contacter,,,,,,,,,,,,proprete,,NOE,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904335627,90433562700025,81.22Z,,,,,,,,,,,sirene,
A2B SERVICES,,,a contacter,,,,,,,,,,,,proprete,,BRON,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802559039,80255903900036,81.21Z,,,,,,,,,,,sirene,
A2BK,,,a contacter,,,,,,,,,,,,proprete,,LAVALETTE,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453900128,45390012800043,81.21Z,,,,,,,,,,,sirene,
A2MICILE 26,,,a contacter,,,,,,,,,,,,proprete,,MONTELIMAR,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951918838,95191883800024,81.21Z,,,,,,,,,,,sirene,
A2MICILE BELFORT,,,a contacter,,,,,,,,,,,,proprete,,BELFORT,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494817083,49481708300061,81.21Z,,,,,,,,,,,sirene,
A2MICILE BOURG EN BRESSE,,,a contacter,,,,,,,,,,,,proprete,,BOURG-EN-BRESSE,,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498998707,49899870700034,81.21Z,,,,,,,,,,,sirene,
A2MICILE COTE BASQUE,,,a contacter,,,,,,,,,,,,proprete,,ANGLET,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750215444,75021544400035,81.21Z,,,,,,,,,,,sirene,
A2MICILE NANTES NORD,,,a contacter,,,,,,,,,,,,proprete,,SAINT-HERBLAIN,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509985503,50998550300036,81.21Z,,,,,,,,,,,sirene,
